bot_label,propagator,Di,Bi,treated,purchase
0,0.0,0.0,0.0,0.0,0.24427699189183968
0,0.0,1.0,1.0,0.0,3.9614316342912073
0,0.0,1.0,0.0,1.0,2.9933361434309695
0,0.0,1.0,1.0,0.0,2.6938393005201013
0,1.0,1.0,1.0,0.0,4.041338102341601
0,0.0,1.0,1.0,0.0,4.106208501395612
0,0.0,1.0,0.0,1.0,3.0478291161307576
0,0.0,0.0,1.0,-1.0,2.279579252217347
0,0.0,0.0,0.0,0.0,1.0110342709560463
0,0.0,0.0,0.0,0.0,1.0597954912238035
0,0.0,1.0,0.0,1.0,3.329700802053636
0,0.0,0.0,0.0,0.0,-0.3100028378716296
0,0.0,0.0,1.0,-1.0,0.9088349304401262
0,0.0,0.0,1.0,-1.0,2.2852317504038533
0,0.0,1.0,0.0,1.0,2.1872258296622165
0,0.0,0.0,1.0,-1.0,1.135676019768094
0,0.0,1.0,0.0,1.0,2.1665301478928956
0,0.0,1.0,1.0,0.0,3.0654132418242046
0,0.0,0.0,1.0,-1.0,1.3263194855064544
0,0.0,1.0,1.0,0.0,4.075551833946143
0,0.0,0.0,1.0,-1.0,1.0479734211790557
0,0.0,1.0,1.0,0.0,4.031791734825129
0,0.0,1.0,1.0,0.0,4.038572791110077
0,0.0,0.0,1.0,-1.0,0.7685965438368264
0,0.0,1.0,1.0,0.0,3.154134610892669
0,0.0,1.0,1.0,0.0,3.9739120532433345
0,0.0,1.0,1.0,0.0,4.364383019572081
0,0.0,0.0,1.0,-1.0,1.9848699058823154
0,0.0,0.0,1.0,-1.0,2.0841836568351315
0,0.0,1.0,1.0,0.0,3.049320437252267
0,0.0,1.0,1.0,0.0,3.874888592978149
0,0.0,1.0,1.0,0.0,3.1984273657037012
0,0.0,1.0,1.0,0.0,4.381012728112004
0,0.0,0.0,1.0,-1.0,0.997044556068031
0,0.0,0.0,1.0,-1.0,1.9399042428829156
0,0.0,1.0,1.0,0.0,3.9289942537889253
0,0.0,0.0,1.0,-1.0,0.6215276213365317
0,0.0,1.0,1.0,0.0,3.9644373712593977
0,0.0,1.0,1.0,0.0,4.050199623201665
0,0.0,0.0,1.0,-1.0,1.2109515850360566
0,0.0,0.0,0.0,0.0,0.1920095482299856
0,0.0,0.0,1.0,-1.0,1.9167001835126616
0,0.0,1.0,0.0,1.0,1.9446354010452223
0,0.0,1.0,1.0,0.0,4.224781061122888
0,0.0,1.0,1.0,0.0,3.9653072205854243
0,0.0,1.0,1.0,0.0,3.8979940920488767
0,0.0,1.0,0.0,1.0,3.2785036898868545
0,1.0,1.0,1.0,0.0,4.207517133410127
0,0.0,0.0,1.0,-1.0,1.0037583583548515
0,0.0,1.0,0.0,1.0,2.8812445104442665
0,0.0,0.0,0.0,0.0,-0.4023760638489418
0,0.0,0.0,1.0,-1.0,2.1179407211149446
0,0.0,1.0,1.0,0.0,3.820726055489564
0,0.0,1.0,0.0,1.0,2.6074535981718494
0,0.0,1.0,0.0,1.0,3.3169641054698036
0,0.0,1.0,0.0,1.0,2.129593558201978
0,0.0,1.0,1.0,0.0,3.772198361376607
0,0.0,1.0,0.0,1.0,1.7571197234081481
0,0.0,0.0,1.0,-1.0,1.174192356434324
0,0.0,1.0,1.0,0.0,3.824405876692826
0,0.0,0.0,1.0,-1.0,2.2592299735055765
0,0.0,1.0,1.0,0.0,3.123291862525231
0,0.0,1.0,0.0,1.0,3.1073193041133647
0,0.0,0.0,1.0,-1.0,1.08093909112286
