bot_label,propagator,Di,Bi,treated,purchase
0,0.0,1.0,0.0,1.0,0.7981609015403088
0,0.0,1.0,1.0,0.0,1.021298655256327
0,0.0,1.0,1.0,0.0,0.9980815225879414
0,0.0,0.0,1.0,-1.0,0.09290910702680255
0,0.0,1.0,0.0,1.0,0.7231707229936206
0,0.0,1.0,0.0,1.0,0.9782724801493361
0,0.0,1.0,0.0,1.0,0.7571295038308822
0,0.0,1.0,0.0,1.0,0.8544254999021716
0,0.0,1.0,1.0,0.0,0.9491205336733775
0,0.0,1.0,0.0,1.0,0.6043053821026214
0,0.0,1.0,1.0,0.0,1.2073591025611474
0,0.0,0.0,0.0,0.0,-0.08411112708909924
0,0.0,0.0,0.0,0.0,0.009106334021105155
0,0.0,1.0,0.0,1.0,0.7133321329224879
0,0.0,0.0,0.0,0.0,-0.04266867203826539
0,0.0,1.0,1.0,0.0,0.9891246251007378
0,0.0,1.0,0.0,1.0,0.2526131385771212
0,0.0,0.0,0.0,0.0,0.04630333851975369
0,0.0,0.0,1.0,-1.0,0.37098376671825806
0,0.0,0.0,1.0,-1.0,0.16508798191211393
0,1.0,1.0,0.0,1.0,0.9236115172253908
0,0.0,0.0,0.0,0.0,-0.06432598037320199
0,1.0,1.0,0.0,1.0,0.841274260029494
0,0.0,0.0,1.0,-1.0,0.1400763185842333
0,0.0,1.0,1.0,0.0,0.9957132668317228
0,0.0,1.0,1.0,0.0,0.9938613903610617
0,0.0,1.0,1.0,0.0,1.1291219438379236
0,0.0,0.0,0.0,0.0,0.06921398193486437
0,0.0,0.0,0.0,0.0,0.04827558459276146
0,0.0,1.0,1.0,0.0,0.9710630666260115
0,0.0,1.0,1.0,0.0,1.088882607119357
0,1.0,1.0,1.0,0.0,1.0912210451078828
0,0.0,1.0,0.0,1.0,0.8197929314936786
0,0.0,0.0,0.0,0.0,-0.054627016365307174
0,0.0,0.0,0.0,0.0,0.025625339304281836
0,0.0,0.0,1.0,-1.0,0.0609259715360764
0,0.0,1.0,0.0,1.0,0.9071945492999652
0,0.0,1.0,0.0,1.0,0.6040407605641558
0,0.0,0.0,0.0,0.0,0.11943046788408151
0,0.0,0.0,0.0,0.0,-0.08977374450118174
0,0.0,0.0,0.0,0.0,-0.06503632105552463
0,0.0,1.0,1.0,0.0,0.9554348361504384
0,0.0,1.0,0.0,1.0,0.8690474937291158
0,0.0,1.0,0.0,1.0,0.7498882104763794
0,0.0,0.0,0.0,0.0,0.08883047386867819
0,0.0,1.0,0.0,1.0,0.9110898806330239
0,0.0,1.0,0.0,1.0,0.8984954669592292
