id,my_sent,num_inf_source,num_following,num_ego_edge,inf_s_rate,ego_rate
u93946167,0.296,1,2,3,0.5,0.666666667
u1437690446,-0.5255,40,294,597,0.136054422,0.492462312
u329260641,0.9657,24,182,237,0.131868132,0.767932489
u2319350382,-0.9145,61,345,459,0.176811594,0.751633987
u86719842,0.3971,76,293,426,0.259385666,0.687793427
u382331748,-0.25,33,138,237,0.239130435,0.582278481
u52664889,-0.3818,9,87,155,0.103448276,0.561290323
u1137814688840978433,0,1,1,2,1,0.5
u1000,0,10,83,125,0.120481928,0.664
u2794693791,-0.9706,1,1,1,1,1
u991965599780757504,0.9991,14,41,62,0.341463415,0.661290323
u380776958,0,8,92,145,0.086956522,0.634482759
u2572695564,0.7227,7,26,42,0.269230769,0.619047619
u156411211,-0.3987,6,74,91,0.081081081,0.813186813
u1138810125269864449,-0.6494,58,202,543,0.287128713,0.372007366
u853517380848431105,0.186,13,101,278,0.128712871,0.363309353
u312504426,0.5807,6,13,17,0.461538462,0.764705882
u3589968563,-0.9828,22,107,146,0.205607477,0.732876712
u1232606515179204608,-0.974,53,189,268,0.28042328,0.705223881
u1250629825133531136,-0.2706,1,1,2,1,0.5
u27218932,0.91,63,366,742,0.172131148,0.493261456
u3336693958,0.5473,18,161,244,0.111801242,0.659836066
u227701742,-0.9505,62,355,495,0.174647887,0.717171717
u901398640199057408,0.34,7,106,120,0.066037736,0.883333333
u932434860,-0.6738,47,358,597,0.131284916,0.599664992
u2210691817,-0.6305,1,1,2,1,0.5
u1412178678,0.9234,28,160,203,0.175,0.78817734
u45010849,-0.9991,4,32,33,0.125,0.96969697
u1088583379531038721,0.4707,78,406,697,0.192118227,0.582496413
u1085290065490632704,0.5039,30,177,344,0.169491525,0.514534884
u21114659,-1,91,573,1135,0.158813264,0.504845815
u28656166,-0.8881,17,142,230,0.11971831,0.617391304
u126301470,0.713,31,205,375,0.151219512,0.546666667
u19671793,-0.0258,21,209,264,0.100478469,0.791666667
u909963743714529280,0.6901,41,203,549,0.201970443,0.369763206
u831431567671193600,0,10,59,80,0.169491525,0.7375
u1428029466161389574,-0.9754,1,4,4,0.25,1
u112479899,0,16,100,111,0.16,0.900900901
u819224053919739904,0.5859,29,186,265,0.155913978,0.701886792
u96149284,0.4039,9,65,142,0.138461538,0.457746479
u270863497,0.7303,1,1,1,1,1
u733532010,0,23,111,130,0.207207207,0.853846154
u2232063890,0.4019,27,176,508,0.153409091,0.346456693
u2842853434,0.8932,23,158,443,0.14556962,0.356659142
u963884836162342913,0.9491,28,216,579,0.12962963,0.373056995
u2231617016,0,5,34,95,0.147058824,0.357894737
u20479813,-0.9849,28,249,665,0.112449799,0.37443609
u711494087753338880,0,1,1,1,1,1
u47472893,-0.9769,44,205,313,0.214634146,0.654952077
u311107295,-0.9097,26,149,401,0.174496644,0.371571072
u25484126,-0.7003,36,277,357,0.129963899,0.775910364
u1381669350076256260,0,1,4,5,0.25,0.8
u881650677797330944,-0.9931,35,213,594,0.164319249,0.358585859
u3169963433,0.7845,3,11,22,0.272727273,0.5
u5988912,0.9893,22,156,233,0.141025641,0.669527897
u1378773598589042698,0.4767,1,3,3,0.333333333,1
u192589318,-0.9963,81,448,762,0.180803571,0.587926509
u65467957,0,18,165,276,0.109090909,0.597826087
u1479907266652475393,-0.974,2,2,3,1,0.666666667
u147994804,0.9887,106,403,550,0.263027295,0.732727273
u740096515553779712,0.4118,1,2,2,0.5,1
u19837528,0.9024,60,350,702,0.171428571,0.498575499
u1364183378107527168,0,21,130,199,0.161538462,0.653266332
u1469724830,0,47,226,412,0.207964602,0.548543689
u1053356734356639744,0.296,4,63,68,0.063492063,0.926470588
u802771255342469120,0,19,85,101,0.223529412,0.841584158
u1221402746399662082,-0.8466,82,389,848,0.210796915,0.458726415
u2389603556,0.6124,30,290,444,0.103448276,0.653153153
u871016931213619200,0,17,258,424,0.065891473,0.608490566
u16945253,-0.7842,1,1,1,1,1
u4844352312,0.6562,82,321,905,0.255451713,0.354696133
u148481941,-0.9705,1,1,1,1,1
u14914177,0.743,9,68,211,0.132352941,0.322274882
u1660081482,-0.5719,1,4,5,0.25,0.8
u1137881,-0.9746,1,1,1,1,1
u1148681431,0.9773,32,187,252,0.171122995,0.742063492
u21083332,0.7882,1,8,10,0.125,0.8
