id,my_sent,num_inf_source,num_following,num_ego_edge,inf_s_rate,ego_rate
u921853563747356673,0,1,17,29,0.058823529,0.586206897
u895668188272222208,0.9932,1,3,7,0.333333333,0.428571429
u18470126,0.6588,1,3,5,0.333333333,0.6
u1336929872913035264,-0.2465,1,4,7,0.25,0.571428571
u39516928,0.3818,1,101,161,0.00990099,0.627329193
u1645766790,0.1779,1,2,2,0.5,1
u72008514,0,1,7,22,0.142857143,0.318181818
u1322151900243021827,0.9796,1,1,2,1,0.5
u126386059,-0.2263,1,1,1,1,1
u2730264319,-0.8176,1,4,5,0.25,0.8
u1464454859558690822,-0.2755,1,1,2,1,0.5
u45774142,0.8669,1,3,5,0.333333333,0.6
u1095010002392281088,-0.1759,1,7,13,0.142857143,0.538461538
u14556112,0.0772,1,1,1,1,1
u31694319,0.0516,1,1,2,1,0.5
u27025052,0.4574,1,1,1,1,1
u1149634947096821761,0.5574,1,2,4,0.5,0.5
u943744353301946369,0.1206,1,4,8,0.25,0.5
u792481333939433473,0.9378,1,3,4,0.333333333,0.75
u796314007,0.34,1,2,4,0.5,0.5
u1391112666568171525,-0.6705,1,2,4,0.5,0.5
u46816457,0.8883,1,3,8,0.333333333,0.375
u1009271772682866693,0,1,1,1,1,1
u981472704325971969,0.34,1,3,4,0.333333333,0.75
u1082756694143393793,0,1,2,5,0.5,0.4
u1107753281672089600,0.998,1,1,2,1,0.5
u4121338227,0.9824,1,2,4,0.5,0.5
u15728275,0.9994,1,2,6,0.5,0.333333333
u2248420686,-0.4019,1,4,10,0.25,0.4
u558865266,0.75,1,4,6,0.25,0.666666667
u551910958,0.5574,1,2,5,0.5,0.4
u1355347989821186058,0.4767,1,3,6,0.333333333,0.5
u3297053364,0,1,4,11,0.25,0.363636364
u78559994,0,1,1,1,1,1
u223671790,-0.0772,1,11,18,0.090909091,0.611111111
u15951923,0.7845,1,2,2,0.5,1
u38830654,0.2481,1,3,5,0.333333333,0.6
u730757909475254272,-0.3612,1,1,1,1,1
u1004642294866169856,0.8275,1,2,4,0.5,0.5
u1153560559683457024,0.8126,1,1,2,1,0.5
u234864890,0.9933,1,3,5,0.333333333,0.6
u19761076,0.3612,1,1,1,1,1
u179437999,-0.0258,1,1,2,1,0.5
u16361027,0.4019,1,8,12,0.125,0.666666667
u458966079,-0.7506,1,1,2,1,0.5
u279645250,0.8074,1,1,2,1,0.5
u44609023,0.6369,1,2,2,0.5,1
u318528000,-0.742,1,2,4,0.5,0.5
u18720161,-0.9772,1,1,1,1,1
u1218133859021148160,0.9998,1,2,3,0.5,0.666666667
u1196530862,0.9499,1,2,2,0.5,1
u5981342,0.3182,1,8,14,0.125,0.571428571
u4703271746,-0.6486,1,1,1,1,1
u913654872855252992,0.9168,1,1,1,1,1
u1191281093191835648,0.9787,1,6,13,0.166666667,0.461538462
u410542119,0.8013,1,1,2,1,0.5
u749598552,0.8122,1,12,27,0.083333333,0.444444444
u2905330823,0.5754,1,1,2,1,0.5
u1895034721,-0.0018,1,14,35,0.071428571,0.4
u1341012740328964096,0,1,1,2,1,0.5
u3419251203,0.3009,1,3,6,0.333333333,0.5
u492909670,0,1,1,2,1,0.5
u36421535,-0.296,1,4,6,0.25,0.666666667
u1078994850140340224,0.1477,1,8,17,0.125,0.470588235
u2533972483,0.959,1,2,4,0.5,0.5
u90146161,0,1,6,11,0.166666667,0.545454545
u881159017644654592,0.9858,1,2,4,0.5,0.5
u1707346123,0.9974,1,1,1,1,1
u2767087099,0.2263,1,1,1,1,1
u1288153172163407872,-0.3818,1,2,3,0.5,0.666666667
u31101943,0.9143,1,2,3,0.5,0.666666667
u2935543489,0.7351,1,2,4,0.5,0.5
u25387995,0,1,1,2,1,0.5
u1008681429423837185,0.7184,1,14,30,0.071428571,0.466666667
u3583045519,0,1,14,20,0.071428571,0.7
u983971218759081984,0.8854,1,2,2,0.5,1
u2188209356,-0.8934,1,1,1,1,1
u20791598,-0.3182,1,3,7,0.333333333,0.428571429
u20041077,0.6908,1,1,1,1,1
u3950928695,-0.3182,1,2,2,0.5,1
u15760672,-0.6124,1,1,1,1,1
u344452567,0.3612,1,2,2,0.5,1
u485829143,-0.4376,1,3,3,0.333333333,1
u1351432394000134153,-0.1749,1,1,1,1,1
u233609943,0.0258,1,2,3,0.5,0.666666667
u25859335,-0.3291,1,8,13,0.125,0.615384615
u214906101,0.296,1,1,1,1,1
u66937293,-0.9556,1,3,5,0.333333333,0.6
u1303812056722870278,0,1,1,2,1,0.5
u3726768871,0.5859,1,4,5,0.25,0.8
u782292383450955776,0.3612,1,2,4,0.5,0.5
u1358367188084744193,-0.5423,1,2,4,0.5,0.5
u104762919,0.8221,1,2,2,0.5,1
u1396972063,0,1,2,4,0.5,0.5
u964580191413534720,0.5994,1,3,5,0.333333333,0.6
u1269752950919839744,-0.9268,1,2,3,0.5,0.666666667
u1173613556367069185,0.6705,1,3,4,0.333333333,0.75
u1378238418,0.7177,1,4,7,0.25,0.571428571
u604498301,-0.9118,1,3,6,0.333333333,0.5
u986495402,0,1,1,1,1,1
u731634276903624705,0,1,5,5,0.2,1
u1245104060,0.5738,1,5,7,0.2,0.714285714
u894384300744888320,0.8256,1,1,1,1,1
u1041404285811154946,0.2732,1,6,11,0.166666667,0.545454545
u77731388,0.9604,1,3,5,0.333333333,0.6
u1221581606864982018,0.5423,1,4,7,0.25,0.571428571
u1264216508642865152,0.7349,1,5,8,0.2,0.625
u40579143,0.2263,1,1,1,1,1
u6266142,-0.296,1,2,4,0.5,0.5
u120047491,-0.4319,1,3,4,0.333333333,0.75
u2838767611,0.9876,1,53,62,0.018867925,0.85483871
u20263955,0,1,1,2,1,0.5
u1109375974494388226,-0.7505,1,4,8,0.25,0.5
u897787220022755328,0.9201,1,1,2,1,0.5
u798159936274497537,0.9022,1,1,2,1,0.5
u1109544277196054533,0.296,1,11,28,0.090909091,0.392857143
u14943338,0.1901,1,1,1,1,1
u814813830,0.4404,1,3,3,0.333333333,1
u1268218814581207041,0.3182,1,2,3,0.5,0.666666667
u4126501,0.7169,1,2,2,0.5,1
u424226560,-0.8126,1,1,2,1,0.5
u33183740,0,1,3,4,0.333333333,0.75
u1199101727703744512,-0.9483,1,1,1,1,1
u3377571425,-0.8807,1,4,6,0.25,0.666666667
u425023211,-0.7096,1,6,11,0.166666667,0.545454545
u743691131188174848,-0.9558,1,3,6,0.333333333,0.5
u1065882542816092160,-0.2023,1,1,1,1,1
u27768650,0.8478,1,1,2,1,0.5
u1223500902629167106,0,1,1,1,1,1
u20151889,0.6652,1,1,2,1,0.5
u1146720530851979264,0.9356,1,2,2,0.5,1
u1484608740,0.144,1,2,5,0.5,0.4
u1073715085212815366,-0.6249,1,2,4,0.5,0.5
u1080952894508150794,0,1,4,6,0.25,0.666666667
u2276824812,-0.4767,1,4,10,0.25,0.4
u1096672133785227264,0,1,2,4,0.5,0.5
u363739657,0.7269,1,1,2,1,0.5
u1259118551505334284,0,1,1,1,1,1
u3393981973,0.8805,1,2,3,0.5,0.666666667
u972827216387235840,0.8176,1,1,1,1,1
u2306533138,0.128,1,1,1,1,1
u81070294,0.8272,1,1,1,1,1
u31711965,0.8959,1,2,6,0.5,0.333333333
u720507041,0.6092,1,2,4,0.5,0.5
u74699659,0,1,2,3,0.5,0.666666667
u2179791505,0.6369,1,1,2,1,0.5
u1163335762848428032,-0.8535,1,2,4,0.5,0.5
u95740429,0.4215,1,3,8,0.333333333,0.375
u1431064002285629447,-0.296,1,1,1,1,1
u161595367,0.3182,1,2,4,0.5,0.5
u1205693744399319041,-0.855,1,8,17,0.125,0.470588235
u2886280548,0.2732,1,3,9,0.333333333,0.333333333
u730387431678222337,-0.875,1,5,14,0.2,0.357142857
u29755153,-0.6486,1,1,1,1,1
u69594368,0,1,12,23,0.083333333,0.52173913
u174599471,0,1,5,11,0.2,0.454545455
u43848311,0.9719,1,1,1,1,1
u701057298727358468,0.926,1,3,6,0.333333333,0.5
