id,my_sent,num_inf_source,num_following,num_ego_edge,inf_s_rate,ego_rate
u836265656991494146,-0.2289,5,54,59,0.092592593,0.915254237
u1185613800839503873,-0.4676,3,49,308,0.06122449,0.159090909
u3291306041,0,15,176,352,0.085227273,0.5
u1653171638,0.9747,1,31,108,0.032258065,0.287037037
u1007582855113969664,0.9688,7,111,384,0.063063063,0.2890625
u925836293031960576,0.9821,7,121,487,0.05785124,0.248459959
u52421856,0.4019,9,115,759,0.07826087,0.151515152
u361993840,-0.5859,18,159,525,0.113207547,0.302857143
u1433385218,0.0323,14,129,574,0.108527132,0.224738676
u4375683675,0.8651,4,93,475,0.043010753,0.195789474
u1081272693931102208,-0.7293,20,181,821,0.110497238,0.22046285
u1069198051,-0.7995,31,262,1475,0.118320611,0.177627119
u775884428858064906,0,4,77,220,0.051948052,0.35
u87430843,-0.1739,12,194,1102,0.06185567,0.176043557
u811408471652347904,0,7,65,147,0.107692308,0.442176871
u876895425835479041,-0.3415,8,123,437,0.06504065,0.281464531
u826592275375460355,0.5998,21,268,649,0.078358209,0.412942989
u381440981,0.8741,14,208,1224,0.067307692,0.169934641
u815888671,0.5177,11,164,432,0.067073171,0.37962963
u31235299,0.7269,27,168,763,0.160714286,0.220183486
u3429057748,-0.4033,13,151,707,0.086092715,0.213578501
u474611933,0.4939,10,163,780,0.061349693,0.208974359
u1172261563824246784,0.5355,7,73,306,0.095890411,0.238562092
u723305366277238785,0.5443,19,233,1358,0.081545064,0.171575847
u49356506,-0.3134,10,124,409,0.080645161,0.303178484
u1241742781376352257,-0.8651,13,163,624,0.079754601,0.261217949
u1385062902311309312,-0.5989,1,1,1,1,1
u32746100,-0.9816,13,80,104,0.1625,0.769230769
u1000,-0.6249,4,43,66,0.093023256,0.651515152
u896504229799612417,0,8,125,335,0.064,0.373134328
u1253989968663457793,0.4215,1,1,1,1,1
u1019944707311403008,-0.9277,10,58,143,0.172413793,0.405594406
u246190734,0.4389,2,46,87,0.043478261,0.528735632
u14351515,-0.2748,25,281,1991,0.088967972,0.141135108
u613173206,0.9968,13,176,263,0.073863636,0.669201521
u483330559,0.836,1,3,5,0.333333333,0.6
u159968349,-0.8619,4,20,27,0.2,0.740740741
u1539678780,-0.4939,24,146,223,0.164383562,0.65470852
u921272870,-0.765,3,7,7,0.428571429,1
u595982444,0.9586,23,183,260,0.12568306,0.703846154
u953369915544801283,-0.9747,24,167,428,0.143712575,0.390186916
u4398278787,0,1,11,26,0.090909091,0.423076923
u2211100392,-0.7105,15,157,266,0.095541401,0.590225564
u965674672988852225,-0.8316,5,60,216,0.083333333,0.277777778
u15255245,-0.9117,19,157,435,0.121019108,0.36091954
u14238165,0.9756,43,324,698,0.132716049,0.464183381
u718554927438520320,0,10,139,407,0.071942446,0.341523342
u778925259806371840,0.9999,18,157,232,0.114649682,0.676724138
u951091819089219584,-0.6993,1,43,58,0.023255814,0.74137931
u979336309,0.9758,9,60,76,0.15,0.789473684
u102580588,-0.5106,14,113,261,0.123893805,0.432950192
u61315405,0,33,159,220,0.20754717,0.722727273
u949778836048277504,0.5267,7,112,167,0.0625,0.670658683
u23617394,-0.3182,15,124,189,0.120967742,0.656084656
u35801632,-0.5719,1,1,2,1,0.5
u252388658,0.8268,32,271,727,0.118081181,0.372764787
u795745315848536065,0,1,1,1,1,1
u3093242123,-0.8271,9,56,120,0.160714286,0.466666667
u69546188,-0.3724,1,2,4,0.5,0.5
u1225183906590269440,0.0588,14,119,262,0.117647059,0.454198473
u3285119581,0.1779,6,64,157,0.09375,0.407643312
u853028992596807680,0,6,69,129,0.086956522,0.534883721
u8932272,-0.4792,11,158,275,0.069620253,0.574545455
u59886644,0.8316,4,59,85,0.06779661,0.694117647
u16432203,0.0516,9,184,347,0.048913043,0.530259366
u2842853434,0,8,120,409,0.066666667,0.293398533
u1951616070,0.8512,8,143,616,0.055944056,0.232142857
u456933366,0.9972,7,142,1045,0.049295775,0.135885167
u1091752710041268224,0.9761,9,135,746,0.066666667,0.180965147
u889096104859627520,0.223,11,140,393,0.078571429,0.356234097
u3228486315,-0.8876,4,133,1003,0.030075188,0.132602193
u12414242,-0.802,3,63,95,0.047619048,0.663157895
u91506257,0.6361,2,56,801,0.035714286,0.069912609
u790959772468072453,0.25,1,18,61,0.055555556,0.295081967
u801879070766153728,-0.273,31,289,2232,0.107266436,0.129480287
u335476793,-0.5621,14,252,1852,0.055555556,0.136069114
u895659037198393344,0.3197,2,133,1127,0.015037594,0.118012422
u1389961515705454597,0.4471,4,91,301,0.043956044,0.302325581
u1015681547415031808,0,8,173,370,0.046242775,0.467567568
u2487828968,-0.1878,20,172,1531,0.11627907,0.112344873
u1236334913491697669,0.9311,5,131,508,0.038167939,0.257874016
u14914457,0.1779,5,87,372,0.057471264,0.233870968
u762020411601068033,-0.4767,4,136,454,0.029411765,0.299559471
u925873174306320391,0.5719,5,127,330,0.039370079,0.384848485
u29277960,0.6908,9,98,551,0.091836735,0.177858439
u857722144809246722,0.8807,13,151,847,0.086092715,0.178276269
u910736476274614272,0.4404,8,115,818,0.069565217,0.140586797
u41333386,0.7351,7,52,93,0.134615385,0.559139785
u2448534947,0.93,6,74,375,0.081081081,0.197333333
u1689323390,0.925,10,130,911,0.076923077,0.142700329
u583037034,0.4926,3,93,480,0.032258065,0.19375
u1009495181882773506,0.25,6,160,1717,0.0375,0.093185789
u992729386574143488,0.7102,1,6,11,0.166666667,0.545454545
u103095293,0.9233,24,170,241,0.141176471,0.705394191
u775622474725601280,0.7189,12,153,278,0.078431373,0.550359712
u3390071746,0.5133,22,132,168,0.166666667,0.785714286
u1094571084152737794,0.9999,42,234,465,0.179487179,0.503225806
u1130811102063992833,0.8655,1,4,4,0.25,1
u188741386,-0.7269,14,133,322,0.105263158,0.413043478
