id,followers,retweet,retweet_prec,post,treatment_effect
u39301317,1,142,0.78021978,182,0.1758513
u271601706,14,74,0.47133758,157,0.138708181
u892059194240532480,13,22,0.385964912,57,0.206677154
u901874434994266116,13,34,0.323809524,105,0.148568185
u1383386600562778117,1,44,0.305555556,144,0.1120738
u282827560,1,18,0.276923077,65,0.1652007
u1251027477432057856,1,13,0.276595745,47,0.059752
u1153490881741148160,8,11,0.255813953,43,0.061516188
u1371073060539756544,1,31,0.183431953,169,0.2062414
u747180772667228161,2,48,0.173913043,276,0.1775294
u959067026139447296,3,12,0.173913043,69,0.084823267
u637338906,15,9,0.173076923,52,0.076542053
u1152210900872519685,2,11,0.15942029,69,0.04656
u1116275811609391106,13,27,0.135678392,199,0.080377185
u1017768025003618304,1,16,0.134453782,119,0.1599433
u815033787645972480,20,12,0.125,96,0.064600152
u918804624303382528,45,44,0.116710875,377,0.082486424
u1066044967372685312,6,7,0.114754098,61,0.031775583
u737619489827749888,1,5,0.111111111,45,0.1273998
u2242321034,5,10,0.106382979,94,0.11197486
u1293649398057050113,2,9,0.1,90,0.1639397
u1458980245860720645,17,8,0.098765432,81,0.080023383
u50485184,3,6,0.095238095,63,0.068688933
u361825938,10,25,0.095057034,263,0.036376763
u743490797610405888,2,24,0.094117647,255,0.04976585
u1441683373840224264,2,27,0.092783505,291,0.0635447
u920734803443544064,2,8,0.08988764,89,0.05737065
u1260650625433513987,1,5,0.086206897,58,0.1125782
u1062103328853757954,5,8,0.086021505,93,0.05072324
u1246787492965232640,14,11,0.0859375,128,0.07244736
u1067968702400876544,3,7,0.083333333,84,0.10648175
u1130959251671834624,20,30,0.081743869,367,0.06209164
u1446130388,1,4,0.076923077,52,0.06000517
u2751421558,2,6,0.076923077,78,0.03340195
u801372548940398593,6,6,0.074074074,81,0.081129183
u1115562636739932161,1,7,0.072916667,96,0.069258
u1001222542856785922,1,3,0.071428571,42,0.1522415
u1430804322351304708,8,18,0.068441065,263,-0.001424688
u1375127026840039424,4,12,0.06779661,177,0.08094844
u779318939851616256,1,3,0.065217391,46,0.0181681
u1426208664826875904,1,6,0.064516129,93,0.1080871
u1123952165268144129,8,4,0.0625,64,0.107502675
u1369771016671662083,1,4,0.061538462,65,0.18210295
u3860269577,14,16,0.060836502,263,0.069114579
u199670065,3,5,0.060240964,83,0.069258
u373883201,8,14,0.059574468,235,0.03929955
u1112521141552406530,8,4,0.054054054,74,0.092588925
u1154426168159932419,2,4,0.053333333,75,0.0610809
u19403676,1,5,0.052083333,96,-0.002893833
u1458648751170535427,3,4,0.051282051,78,0.098555233
u1391482869906825229,1,7,0.05,140,-0.0019012
u3046748387,1,2,0.048780488,41,0.1405045
u1133452542271262720,6,6,0.047244094,127,0.019309467
u1014312247315886092,1,7,0.046979866,149,-0.0214855
u951601536584396800,1,4,0.043956044,91,0.1083684
u1039017333803470848,4,4,0.043010753,93,0.054598875
u1280292761078382596,1,2,0.042553191,47,0.0957584
u15415699,1,2,0.042553191,47,-0.0193612
u737854279810056192,1,2,0.042553191,47,-0.0264907
