id,followers,retweet,retweet_prec,post,treatment_effect
u1292369749557608448,1,23,0.2875,80,0.234522727
u1274455468719644672,2,67,0.281512605,238,0.264436294
u1366826811578007554,1,29,0.263636364,110,0.207492893
u1343966834006089728,1,20,0.204081633,98,0.197882255
u1398643551853072393,2,25,0.196850394,127,0.20880675
u1057380069042057216,3,44,0.187234043,235,0.250466368
u1107295949703901185,1,47,0.182170543,258,0.203687118
u261957476,1,12,0.173913043,69,0.244690869
u24779735,2,8,0.173913043,46,0.179208956
u772958490356617216,3,15,0.154639175,97,0.184014282
u1406211366269198340,1,10,0.14084507,71,0.170668409
u409752593,1,14,0.132075472,106,0.176852754
u1107877242179223553,2,7,0.132075472,53,0.1761965
u3006556224,1,12,0.130434783,92,0.153405594
u1204362599883771909,2,10,0.12987013,77,0.179535693
u1282785240545660929,1,5,0.119047619,42,0.114364152
u759469096534704128,3,21,0.115384615,182,0.159442809
u852098831332323330,1,7,0.114754098,61,0.15295647
u1188344257737908224,1,21,0.112903226,186,0.249616516
u1044357381516333057,2,6,0.109090909,55,0.164388512
u30732254,2,5,0.108695652,46,0.1298885
u1580605350,1,9,0.097826087,92,0.206063344
u1182295083397402624,2,6,0.095238095,63,0.19660925
u407826111,1,7,0.093333333,75,0.160993863
u1427382006124535815,2,7,0.086419753,81,0.169061701
u3244008254,2,4,0.085106383,47,0.207412277
u1430241187441614859,1,6,0.084507042,71,0.244390522
u896572843000864768,3,20,0.083333333,240,0.10999064
u902605254,1,10,0.08,125,0.194534239
u2362520036,2,6,0.078947368,76,0.232103993
u4858015287,1,4,0.075471698,53,0.154053706
u151961804,1,5,0.072463768,69,0.239945914
u14443226,2,22,0.071661238,307,0.242982967
u48966397,3,6,0.066666667,90,0.242781822
u1964862775,2,8,0.063492063,126,0.157858878
u1328767327370809344,1,6,0.06185567,97,0.207866456
u946452306,2,6,0.06122449,98,0.201205935
u1317743454122774529,1,7,0.05982906,117,0.169451487
u1293936527211454466,1,8,0.059701493,134,0.209612179
u1425814022373269509,1,8,0.058823529,136,0.239845807
u1151773559879897089,3,9,0.058064516,155,0.102604807
u889250174052290562,3,4,0.057971014,69,0.100436071
u948786414115680257,1,6,0.057142857,105,0.194697061
u582962011,3,5,0.053191489,94,0.106339561
u1396012419143507970,2,6,0.051724138,116,0.163351061
u2737428961,2,5,0.050505051,99,0.135013573
u1273173749492219905,1,22,0.047930283,459,0.176144397
u1325472345004400645,3,5,0.047619048,105,0.069991928
u961495547357089792,2,13,0.046263345,281,0.150070076
u3345828933,2,3,0.044776119,67,0.174043801
u346072615,2,3,0.043478261,69,0.232369181
u439876343,2,3,0.042857143,70,0.180371954
u1363470846,1,2,0.042553191,47,0.075946475
u1392520213732679685,1,7,0.041666667,168,0.074739662
u142037320,1,4,0.041237113,97,0.062932111
u2304869472,2,3,0.04109589,73,0.190478048
u40015876,1,3,0.040540541,74,0.032653421
u499139057,2,9,0.039823009,226,0.227331754
u1461034599371493381,1,6,0.039735099,151,0.062235051
u1410393440257445891,1,5,0.03968254,126,0.144593571
u1475070269656076288,1,7,0.039325843,178,0.224111071
u562916499,2,2,0.039215686,51,0.19518838
u463939612,1,4,0.039215686,102,0.18938
u21970705,1,3,0.037974684,79,0.159274154
u1448387414288912388,2,4,0.037735849,106,0.212937487
u786560236731543552,1,3,0.0375,80,0.228870895
u1336610595026710529,2,8,0.037037037,216,0.160114351
u806959261,1,3,0.037037037,81,0.156436583
u8039622,3,9,0.035856574,251,0.185001493
u1252633019480866817,2,6,0.035294118,170,0.167310869
u121414659,3,3,0.035294118,85,0.113752369
u1263932082075492357,2,2,0.033898305,59,0.114779719
u14091119,1,8,0.033755274,237,0.157287623
u191751052,3,16,0.033472803,478,0.145128261
u1324439080004931586,1,4,0.032520325,123,0.119332608
u3676080196,1,4,0.029411765,136,0.1786275
u1275806206255194115,3,4,0.028985507,138,0.147792164
u882964348410490881,1,2,0.028169014,71,0.135859865
u2240407170,3,5,0.027932961,179,0.120232168
u2481568951,1,4,0.027586207,145,0.150696186
u703859024815529984,1,2,0.02739726,73,0.053204852
u1356627793568751616,1,2,0.027027027,74,0.100979133
u65420040,3,6,0.026431718,227,0.165504537
u1212134129912827905,1,4,0.025641026,156,0.167470175
u21012563,3,2,0.025641026,78,0.159836684
u708499884882714624,2,4,0.02484472,161,0.035
u988433413303603201,1,3,0.024590164,122,0.163248101
u846860077969522692,1,3,0.024590164,122,0.162659906
u4755599609,1,4,0.024390244,164,0.123579538
u718571531,1,3,0.024193548,124,0.178118628
u1337102993976659968,3,2,0.024096386,83,0.153497833
u2161042754,1,4,0.024096386,166,0.150155631
u1355082143194632194,1,4,0.023952096,167,0.118847883
u1336059064137244681,2,3,0.023809524,126,0.181640957
u3866529553,3,1,0.023809524,42,0.151747874
u363218475,1,2,0.023529412,85,0.222059428
u299565628,2,1,0.023255814,43,0.224276345
u1052940573391360000,1,2,0.023255814,86,0.208955095
u608947384,1,1,0.023255814,43,0.162638595
u4528328473,1,2,0.023255814,86,0.145596095
u1218883993124425730,2,3,0.023076923,130,0.18301524
u1425427545898422279,2,2,0.022222222,90,0.149750682
u819440866804830209,1,3,0.02189781,137,0.142194851
u4187472616,1,1,0.021276596,47,0.219137761
u774273192395280384,1,1,0.020833333,48,0.088133607
u4896679942,3,3,0.020547945,146,0.177756835
u24246342,1,2,0.020408163,98,0.220433333
u734845768184565760,2,1,0.020408163,49,0.214959333
u1281343926822027264,3,1,0.020408163,49,0.200019166
u1374905726,1,1,0.020408163,49,0.181392833
u60620405,1,2,0.02,100,0.191813689
u1647291168,2,2,0.02,100,0.157520439
u1376221222413819906,1,2,0.01980198,101,0.129456717
u1101528295714230280,2,3,0.019480519,154,0.123337168
u482436593,2,1,0.019230769,52,0.013712917
u736106796406841344,1,3,0.018987342,158,0.105455113
u55555123,1,1,0.018867925,53,0.224375154
u1167330903955255296,2,4,0.018518519,216,0.125642403
u1219669456009428992,1,1,0.018181818,55,0.214640741
u1260908995293962243,2,3,0.018181818,165,0.214309241
u1137473385565499394,1,1,0.018181818,55,0.185001241
u28756315,1,3,0.018072289,166,0.222568172
u975753055600865281,1,5,0.017857143,280,0.157047545
u1478082164491272194,1,3,0.017647059,170,0.184232461
u2657110276,1,2,0.01754386,114,0.061367572
u1524621391,1,1,0.017241379,58,0.219226781
u1374645842284580866,3,2,0.017241379,116,0.179783948
u1374005124515909634,2,1,0.016949153,59,0.110994172
u50093505,3,6,0.016949153,354,0.061323005
u146807248,3,1,0.016666667,60,0.02032278
u856457195168202752,1,2,0.016260163,123,0.137214587
u857625949990301697,3,2,0.016129032,124,0.16298476
u1008431216796798977,2,2,0.016129032,124,0.125216427
u27895855,2,1,0.016129032,62,0.094480427
u780119348,2,5,0.01607717,311,0.178720889
u1251531541504761856,1,4,0.015936255,251,0.143568682
u185869091,3,2,0.015873016,126,0.13972501
u1243652011628924931,3,1,0.015625,64,0.163902397
u1481022349616975872,1,1,0.015625,64,0.099223064
u1455911,1,1,0.015151515,66,0.210310923
u1186177273633787905,3,3,0.015075377,199,0.175708704
u515330012,1,2,0.014814815,135,0.199922205
u15171615,2,4,0.014760148,271,0.018501332
u3220822764,1,2,0.014388489,139,0.063986759
u725650454735003648,1,1,0.014285714,70,0.112397841
u2205342828,2,1,0.014084507,71,0.114317107
u1270998235348434946,1,3,0.013888889,216,0.124256831
u1257707932990484481,2,3,0.013761468,218,0.122334965
u1372947278269399045,1,3,0.013636364,220,0.080779652
u2309165462,1,1,0.013157895,76,0.082996833
u1239206834193326085,1,1,0.012345679,81,0.12954
u1363016089928523778,1,3,0.012345679,243,0.12291
u358287982,1,2,0.012048193,166,0.154780854
u1288032284361150464,2,1,0.011904762,84,0.136164214
u1725452700,1,1,0.011904762,84,0.106358964
u1063422502188318726,2,1,0.011904762,84,0.099792714
u1347766542117662720,3,3,0.011857708,253,0.132872
u1450391225371070464,1,1,0.011764706,85,0.057413048
u25975151,1,1,0.011764706,85,0.052491548
u92481468,1,1,0.011494253,87,0.133048721
u1303741215519780867,3,2,0.011494253,174,0.059305554
u904368052011229186,1,1,0.011235955,89,0.215112591
u4146112753,1,1,0.011235955,89,0.193845591
u1228541238845923328,3,2,0.011173184,179,0.186645353
u1336757000202579969,1,2,0.011049724,181,0.210870706
u1269630184141062145,1,2,0.011049724,181,0.095865706
u1251176924849885185,1,1,0.010989011,91,0.217328944
u1363291188179181570,1,1,0.010989011,91,0.201238444
u147432028,1,4,0.010781671,371,0.132429306
u1007707906064732160,1,1,0.010752688,93,0.10224613
u907982470712320004,2,1,0.010752688,93,0.04901913
u46926921,3,2,0.010695187,187,0.192945022
u3436392039,2,1,0.010526316,95,0.142131303
u1350892229800439813,1,1,0.010526316,95,0.006615533
u2457740335,1,2,0.010416667,192,0.169546369
u384500351,1,1,0.010309278,97,0.078902667
u966624876353212422,1,1,0.01010101,99,0.21235047
u1027625068162101248,2,1,0.01,100,0.011543859
u341327946,1,2,0.009803922,204,0.192360092
u533539522,1,1,0.009708738,103,0.216345334
u727852731508109312,1,1,0.00952381,105,0.215904577
u1217799332713390080,1,1,0.009433962,106,0.214874739
u15465752,2,1,0.009433962,106,0.189982489
u262493732,1,2,0.009389671,213,0.090702372
u2710484876,1,1,0.009345794,107,0.131183868
u35225144,3,3,0.009174312,327,0.132371995
u434701971,2,1,0.009009009,111,0.211574273
u719176812,1,1,0.008849558,113,0.047743285
u251060309,1,1,0.00877193,114,0.215678624
u1365153086432419840,1,1,0.00877193,114,0.214463124
u1396711565651419141,1,1,0.00877193,114,0.130687124
u14241543,1,1,0.00877193,114,0.087286124
u1316598307398057991,3,2,0.008733624,229,0.157879487
u739773414316118017,3,1,0.00862069,116,0.108748137
u114775132,1,1,0.008547009,117,0.210477587
u1360245034738679810,1,1,0.008474576,118,0.210941958
u3374008517,1,1,0.008403361,119,0.21074439
u1412099975073472519,2,1,0.008333333,120,0.205596607
u329230119,1,1,0.008333333,120,0.200721857
u42300159,2,3,0.008241758,364,0.106641212
u1468871472827535360,1,1,0.008130081,123,0.052051213
u1257429073,1,1,0.007936508,126,0.0531165
u35700298,1,1,0.0078125,128,-0.042877414
u1417747040856154112,1,1,0.007692308,130,0.129754147
u875419731167236096,3,1,0.007692308,130,0.096718897
u1397883882339549190,2,1,0.007575758,132,-0.01096805
u965026716,1,1,0.007352941,136,0.100561296
u1437349769504952323,1,1,0.007352941,136,0.053794296
u1235232128096301056,3,1,0.00729927,137,-0.016639833
u1256080517809819648,1,1,0.007194245,139,0.15562342
u1201056730727288832,2,1,0.007142857,140,-0.020994358
u1196617594708475904,1,1,0.007042254,142,0.053526369
u1386977343214866436,1,1,0.006944444,144,0.075729056
u106213824,1,1,0.006944444,144,-0.023216056
u1535306870,1,1,0.006711409,149,0.071915743
u1218134791628972033,1,1,0.006578947,152,0.035608639
u2864960801,3,1,0.006451613,155,0.13454948
u824762326347706368,2,1,0.006289308,159,0.165494247
u1266874684718669824,3,1,0.00617284,162,0.125053003
u1239232480043032576,1,2,0.00617284,324,0.123820503
u1118272114312863745,1,1,0.005988024,167,0.210803482
u1335408217996881920,1,1,0.005988024,167,0.128285482
u770759270,1,1,0.005882353,170,0.043908586
u104215821,1,1,0.005847953,171,0.07217975
u1376857805995532288,1,1,0.005847953,171,-0.041125
u1398945683885985793,1,1,0.005780347,173,0.14855786
u1309715920613449729,1,1,0.005780347,173,0.04888686
u1471475005926035458,2,1,0.005714286,175,0.117102057
u479327507,1,1,0.005714286,175,-0.027758557
u727448358730797056,2,1,0.005681818,176,0.071947643
u1134056931335770112,1,1,0.005434783,184,-0.022834809
u1036498434377703424,2,1,0.005235602,191,0.133841559
u758665131110739972,1,1,0.005235602,191,0.050127184
u1275777664180269056,1,1,0.004975124,201,-0.0204731
u13639262,1,1,0.004901961,204,0.127352192
u959868384832839681,1,1,0.004878049,205,0.103353167
u1473191222147751938,1,1,0.004784689,209,0.093064538
u1219594392807165953,2,1,0.004524887,221,0.102773887
u87720071,1,1,0.004484305,223,0.159268329
u4860983848,2,1,0.004310345,232,0.136883153
u1047828914570063873,2,1,0.004149378,241,0.103153167
u845195762,1,1,0.004115226,243,0.139540729
u869758349272686593,1,1,0.004016064,249,0.059425419
u15349747,2,1,0.003745318,267,0.091433988
u40087520,2,1,0.003584229,279,0.069523304
u831873869757763589,1,1,0.003460208,289,0.170690389
u906860329963069440,2,1,0.003115265,321,0.12582125
u1387731222139445253,1,1,0.00310559,322,0.052279475
u837053010257805312,2,1,0.002881844,347,0.123088647
u917339274240057344,1,1,0.002762431,362,0.125264571
u1869723961,1,1,0.002570694,389,0.001531972
