id,followers,follower_sent,retweet,retweeted,membership,mentioned,post,like,pinned
u16232185,250,0.24820224719101106,11,188,6,18,1070,78,0
u979347726151364608,128,0.3109485915492956,2,82,3,26,1103,77,1
u2319350382,75,0.10814210526315791,2,496,0,4,1014,86,1
u86719842,54,0.18369464285714285,0,288,1,103,1016,89,0
u33807328,106,0.22602300884955748,8,39,0,7,1065,46,1
u14364522,102,0.35608620689655185,2,702,0,12,1012,92,0
u2259312655,0,,0,0,0,0,240,0,0
u36717264,60,0.43234687499999985,0,64,3,9,1011,82,1
u95292788,1,-0.079,0,0,1,0,99,0,1
u139533748,22,0.07206086956521741,0,678,0,2,947,68,1
u19206558,153,0.29501242236024855,4,191,1,9,291,81,0
u2238505946,226,0.14894602510460256,11,177,1,36,1191,80,1
u1001875491043889152,205,0.28005953488372076,0,417,2,4,692,86,1
u916457738963742720,225,0.25514603174603184,4,394,4,49,1015,91,0
u2817674196,212,0.2475255411255409,12,107,16,43,1032,87,0
u735497235702685697,82,0.32866629213483156,3,132,0,32,273,85,0
u83352760,167,0.2549502732240438,1,89,0,10,1015,94,1
u3826243702,242,0.26809090909090916,13,407,7,40,1055,85,0
u1253989968663457793,1,0.9654,1,0,0,2,402,0,0
u171909982,166,-0.0737251428571429,2,851,1,8,1404,89,1
u1019944707311403008,211,-0.18507264573991028,9,292,2,42,1544,72,1
u312504426,42,-0.10883124999999993,18,80,0,102,1061,44,0
u293152347,0,,0,0,0,0,199,0,0
u613173206,162,0.3089235294117647,3,472,2,6,1058,81,1
u17932796,83,0.25892417582417593,2,33,5,5,1100,84,1
u16325035,144,0.05413892617449665,2,333,5,6,1011,70,0
u165344557,94,0.32106320754716977,1,148,3,14,1007,96,1
u827163441597075456,99,0.09735504587155966,0,31,1,18,1160,75,0
u49030728,71,0.22597866666666672,0,294,4,4,1060,80,0
u19405351,71,0.1824467532467532,15,373,11,316,1057,94,0
u1226169377084583937,1,0.9992,0,0,0,0,46,0,0
u203565739,95,0.46201747572815544,0,417,1,15,1006,73,0
u983487921238900737,76,0.5309913043478262,2,62,0,24,177,83,0
u1447112683,4,0.564375,0,0,0,3,191,0,0
u633057062,153,0.18768113207547168,5,638,2,50,991,91,1
u1339311407716765696,290,-0.2016473015873018,4,572,0,16,994,81,1
u1037733879094935553,316,-0.10381212121212126,1,332,0,1,601,85,1
u4939401,190,0.3245802030456853,121,164,65,301,1107,85,1
u83597405,308,-0.15937429467084624,0,175,0,2,1078,64,0
u218636715,166,0.21689604519774006,0,66,1,7,103,100,1
u3078395160,127,0.2828965034965035,5,498,6,43,1326,85,0
u1155061218,0,,0,0,0,0,200,0,0
u443834706,39,0.203604255319149,2,235,0,13,992,78,0
u775622474725601280,188,0.28482449999999987,2,479,1,35,993,85,1
u1094571084152737794,103,0.11214414414414417,6,58,0,13,646,80,0
u188741386,228,0.20316724137931036,1,406,2,7,1166,77,1
u2753232592,56,0.125448275862069,66,277,5,102,1088,78,1
u113502611,142,0.08804333333333335,3,670,7,66,1009,81,1
u18499709,103,0.21681592920353984,22,474,8,426,1052,76,0
u380776958,66,0.21562499999999996,18,97,0,187,1004,88,1
u1433385218,285,0.2424107843137254,6,103,3,21,1033,97,1
u909963743714529280,228,0.20451960000000002,19,576,9,117,966,93,1
u3285119581,159,0.19939090909090898,8,693,5,32,1038,91,1
u112479899,44,0.04308125000000001,14,117,17,121,1437,68,1
u819224053919739904,66,0.041967999999999984,39,57,4,94,1140,69,1
u733532010,30,0.29542500000000005,3,387,3,129,1034,85,0
